tick_ts_ms,symbols_count,bytes_sent_per_client
1762758557027,3,87
1762758557128,3,87
1762758557229,3,87
1762758557329,3,87
1762758557430,3,87
1762758557531,3,87
1762758557632,3,87
1762758557733,3,87
1762758557833,3,87
1762758557934,3,87
1762758558035,3,87
1762758558136,3,87
1762758558237,3,87
1762758558338,3,87
1762758558439,3,87
1762758558539,3,87
1762758558640,3,87
1762758558741,3,87
1762758558842,3,87
1762758558943,3,87
1762758559044,3,87
1762758559145,3,87
1762758559246,3,87
1762758559347,3,87
1762758559448,3,87
1762758559549,3,87
1762758559650,3,87
1762758559751,3,87
1762758559852,3,87
1762758559953,3,87
1762758560053,3,87
1762758560154,3,87
1762758560255,3,87
1762758560356,3,87
1762758560457,3,87
1762758560557,3,87
1762758560658,3,87
1762758560759,3,87
1762758560860,3,87
1762758560961,3,87
1762758561061,3,87
1762758561162,3,87
1762758561263,3,87
1762758561364,3,87
1762758561465,3,87
1762758561566,3,87
1762758561667,3,87
1762758561768,3,87
1762758561869,3,87
1762758561970,3,87
1762758562070,3,87
1762758562171,3,87
1762758562272,3,87
1762758562373,3,87
1762758562474,3,87
1762758562575,3,87
1762758562676,3,87
1762758562777,3,87
1762758562878,3,87
1762758562979,3,87
1762758563080,3,87
1762758563181,3,87
1762758563282,3,87
1762758563383,3,87
1762758563484,3,87
1762758563585,3,87
1762758563686,3,87
1762758563786,3,87
1762758563887,3,87
1762758563989,3,87
1762758564089,3,87
1762758564190,3,87
1762758564291,3,87
1762758564392,3,87
1762758564493,3,87
1762758564594,3,87
1762758564695,3,87
1762758564796,3,87
1762758564896,3,87
1762758564997,3,87
1762758565099,3,87
1762758565200,3,87
1762758565300,3,87
1762758565401,3,87
1762758565502,3,87
1762758565603,3,87
1762758565704,3,87
1762758565804,3,87
1762758565906,3,87
1762758566006,3,87
1762758566107,3,87
1762758566208,3,87
1762758566309,3,87
1762758566410,3,87
1762758566511,3,87
1762758566612,3,87
1762758566713,3,87
1762758566814,3,87
1762758566915,3,87
1762758567016,3,87
1762758567116,3,87
1762758567217,3,87
1762758567318,3,87
1762758567419,3,87
1762758567520,3,87
1762758567621,3,87
1762758567722,3,87
1762758567823,3,87
1762758567924,3,87
1762758568025,3,87
1762758568126,3,87
1762758568227,3,87
1762758568328,3,87
1762758568429,3,87
1762758568529,3,87
1762758568630,3,87
1762758568731,3,87
1762758568832,3,87
1762758568933,3,87
1762758569034,3,87
1762758569135,3,87
1762758569236,3,87
1762758569337,3,87
1762758569438,3,87
1762758569539,3,87
1762758569640,3,87
1762758569741,3,87
1762758569842,3,87
1762758569943,3,87
1762758570044,3,87
1762758570145,3,87
1762758570246,3,87
1762758570346,3,87
1762758570447,3,87
1762758570548,3,87
1762758570649,3,87
1762758570750,3,87
1762758570851,3,87
1762758570952,3,87
1762758571053,3,87
1762758571154,3,87
1762758571255,3,87
1762758571355,3,87
1762758571457,3,87
1762758571557,3,87
1762758571658,3,87
1762758571759,3,87
1762758571860,3,87
1762758571961,3,87
1762758572062,3,87
1762758572163,3,87
1762758572264,3,87
1762758572365,3,87
1762758572465,3,87
1762758572566,3,87
1762758572666,3,87
1762758572767,3,87
1762758572868,3,87
1762758572969,3,87
1762758573070,3,87
1762758573170,3,87
1762758573271,3,87
1762758573372,3,87
1762758573473,3,87
1762758573573,3,87
1762758573674,3,87
1762758573775,3,87
1762758573876,3,87
1762758573976,3,87
1762758574077,3,87
1762758574178,3,87
